Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C16, C5, C6, C7, C8, C9",0402B104K250NT,11,100n,C56392
"C14, C15",0402CG150J500NT,2,15p,C1548
"C2, C3, C4",C1005X5R0J475MTJ00E,3,4.7u,C23687
CARD1,TF-009,1,TF-009,C428466
GPIO1,JME-BB0009R24A,1,JME-BB0009R24A,C50087608
J1,SD_Card_Device_16mm_SlotDepth,1,SD_Card_Device,
L1,AOTA-B201610S3R3-101-T,1,AOTA-B201610S3R3-101-T,C42411119
LED1,XL-1005SURC_C25503345,1,Power_led,C25503345
LED2,XL-1005UBC_C22355736,1,Prog_led,C22355736
LED3,16-213_GHC-YR1S1_3T,1,SEL_led,C74338
Q1,L2N7002WT1G,1,L2N7002WT1G,C12778
"R1, R11, R12, R13, R14, R15, R16, R7",CRCW040210K0FKED,8,10k,C71617
"R10, R4, R9",CRCW040233R0FKED,3,33,C242490
"R2, R3",RT0402BRD0727RL,2,27,C852682
"R5, R6",CRCW04021K00FKED,2,1k,C71623
R8,ERJPA2F68R0X,1,68,C542959
U1,RP2350A_C42411118,1,RP2350A_C42411118,C42411118
U2,NMUX27518EPWJ,1,NMUX27518EPWJ,C50341769
U3,W25Q128JVEIQ_TR,1,W25Q128JVEIQ_TR,C2456297
X1,ABM8-272-T3_C20625731,1,ABM8-272-T3_C20625731,C20625731
