Designator,Mid X,Mid Y,Rotation,Layer
C1,169.4,-90.85,315.0,top
C10,169.38137,-89.661499,135.0,top
C11,178.5,-84.36,225.0,top
C12,176.89,-83.05,135.0,top
C13,176.95,-93.75,0.0,top
C14,180.73,-89.63,225.0,top
C15,178.5,-93.79,0.0,top
C16,180.74,-88.04,135.0,top
C2,173.53,-82.69,225.0,top
C3,171.7,-83.95,45.0,top
C4,170.54,-84.1,225.0,top
C5,178.04,-83.87,225.0,top
C6,175.6,-93.35,45.0,top
C7,169.66,-86.07,45.0,top
C8,180.32,-86.97,225.0,top
C9,171.05,-91.55,315.0,top
CARD1,166.5,-99.9,180.0,top
GPIO1,178.125,-106.8291,0.0,top
L1,169.45,-83.179067,225.0,top
LED1,166.1,-83.09,180.0,top
LED2,180.95,-104.25,180.0,top
LED3,175.706047,-104.306047,0.0,top
Q1,179.99,-85.15,225.0,top
R1,179.26,-82.85,0.0,top
R10,177.65,-104.3,135.0,top
R11,159.38,-90.67,90.0,top
R12,164.64,-91.95,0.0,top
R13,161.41,-91.94,180.0,top
R14,159.09,-84.85,270.0,top
R15,162.92,-91.95,0.0,top
R16,159.73,-91.91,180.0,top
R2,168.7,-85.32,180.0,top
R3,171.96,-82.42,0.0,top
R4,177.36,-82.56,315.0,top
R5,181.15,-100.2,270.0,top
R6,180.208683,-89.15,225.0,top
R7,159.2,-88.85,90.0,top
R8,164.1,-83.09,180.0,top
R9,179.0,-104.2,135.0,top
U1,174.720621,-87.816435,45.0,top
U2,163.7954,-87.64,180.0,top
U3,177.455,-98.8,0.0,top
X1,179.73,-91.98,315.0,top
